"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"IC_MAX";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"OPERATING_TEMPERATURE";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANCE";"ROHS_COMPLIANT";"SERIES";"SF_ID";"SF_SKU";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VCEO_MAX";
"J1";"";"CONN_05X2SHD";"2X5-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08671";"";"";"";"PRT-08506";"";"";"";"";"";"";"";
"J2";"";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"";"";"";"";"";"";
"J3";"";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"";"";"";"";"";"";
"J4";"";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"";"";"";"";"";"";
"J5";"";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"";"";"";"";"";"";
"J6";"";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"";"";"";"";"";"";
"Q1";"BC558";"TRANSISTOR_PNPBC558";"TO-92-AMMO";"Generic PNP BJT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Q";"";"";"";"";"";
"Q2";"NPN";"NPN_TO92-EBC";"TO92";"NPN - Generic";"Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BJT";"";"NPN";"NPN";"";
"R1";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R2";"33k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R3";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R4";"1M";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R5";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R6";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R7";"1k5";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R8";"1k";"PV36W";"PV36W";"Rectangular Trimmer Potentiometers - PV36 Series";"Resistor";"Lead Sealed Type Multiturn PV36 Series";"";"BOURNS";"";"PV36W";"";"";"";" -55 to +125 °C";"Active";"";"";"RoHS Compliant";"";"PV36";"";"";"";"Trimpot";"";"Lead Sealed";"";"";
"R9";"1M";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R10";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R11";"47k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R12";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R13";"1k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R14";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R15";"68k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R16";"68k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R17";"14k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R18";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R19";"1k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R20";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R21";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";
"R22";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";
"R23";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";
"R24";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";
"R25";"10";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R26";"10";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"VR1";"100k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"";"";"";"";"10k";"";
"VR2";"100k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"";"";"";"";"10k";"";
"VR3";"1M";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"";"";"";"";"10k";"";
"VR4";"100k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"";"";"";"";"10k";"";
"VR5";"250k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"";"";"";"";"10k";"";
