"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"IC_MAX";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"OPERATING_TEMPERATURE";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANCE";"ROHS_COMPLIANT";"SERIES";"SF_ID";"SF_SKU";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VCEO_MAX";
"J3";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"E";"";"";"";"";"";
"J4";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"E";"";"";"";"";"";
"J5";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"E";"";"";"";"";"";
"J6";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"E";"";"";"";"";"";
"Q1";"PNP";"PNP_TO92-CBE";"TO92";"PNP - Generic";"Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BJT";"";"PNP";"PNP";"";
"Q2";"NPN";"NPN_TO92-EBC";"TO92";"NPN - Generic";"Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BJT";"";"NPN";"NPN";"";
"R1";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R2";"33k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R3";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R4";"1M";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R5";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R6";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R7";"1k5";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R8";"1k";"PV36W";"PV36W";"Rectangular Trimmer Potentiometers - PV36 Series";"Resistor";"Lead Sealed Type Multiturn PV36 Series";"";"BOURNS";"";"PV36W";"";"";"";" -55 to +125 °C";"Active";"";"";"RoHS Compliant";"";"PV36";"";"";"J";"Trimpot";"";"Lead Sealed";"";"";
"R9";"1M";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R10";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R11";"47k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R12";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R13";"1k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R14";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R15";"68k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R16";"68k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R17";"14k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R18";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R19";"1k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R20";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"R";"";"";"";"";"";
"R21";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"R";"";"";"";"";"";
"R22";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"R";"";"";"";"";"";
"R23";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"R";"";"";"";"";"";
"R24";"10k";"NTC640";"P640";"PHILIPS NTC";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"3";"";"";"";"";"";"";"R";"";"";"";"";"";
"VR1";"100k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"J";"";"";"";"10k";"";
"VR2";"100k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"J";"";"";"";"10k";"";
"VR3";"1M";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"J";"";"";"";"10k";"";
"VR4";"100k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"J";"";"";"";"10k";"";
"VR5";"250k";"POTENTIOMETER-PTH-9MM-1/20W-20%-KIT";"POT-PTH-ALPS-KIT";"Potentiometer (Pot)";"";"";"";"";"";"";"";"";"";"";"";"";"RES-09177";"";"";"";"";"COM-09288";"J";"";"";"";"10k";"";
